,Cluster,Store Type,Store Name,Store Address,Coordinates,Store Open At,Store Close At,Google Link
0,1,Starbucks,Uskudar Mimar Sinan Carsisi,"Mimar Sinan Atlas Ck NO2 Uskudar Istanbul Uskudar, Istanbul 34 TR 34672","41.02377, 29.01731",7,24,"https://www.google.com/maps/dir/41.02377,29.01731/"
1,1,Starbucks,Bahariye Cad No:28,General Asim Gunduz Cad. Istanbul 34 TR 34714,"40.98936, 29.02871",7,24,"https://www.google.com/maps/dir/40.98936,29.02871/"
2,1,Starbucks,Moda Reserve,Moda Cad. Aylin Apt. No: 188/C Kadikoy Istanbul - Asya 34 TR 34710,"40.98064, 29.02364",7,24,"https://www.google.com/maps/dir/40.98064,29.02364/"
3,1,Starbucks,Kosuyolu Reserve,Muhittin Ustundag Cd Istanbul 34 TR 34718,"41.00602, 29.03679",7,24,"https://www.google.com/maps/dir/41.00602,29.03679/"
4,1,Starbucks,Elysium Elit Kosuyolu,Muhittin Ustundag Cad. Istanbul Istanbul 34 TR 34718,"41.0061, 29.03721",7,24,"https://www.google.com/maps/dir/41.0061,29.03721/"
5,1,Starbucks,Kosuyolu Isiklar,"Kosuyolu Cad. Direkli Carsi Sok. No:1 Kosuyolu, Kadikoy Istanbul 34 TR 34662","41.01173, 29.03877",7,24,"https://www.google.com/maps/dir/41.01173,29.03877/"
6,1,Starbucks,Acibadem Cad No:98,Acibadem Mah. Acibadem Cad. NO 98 Uskudar Istanbul 34 TR 0000,"40.99949, 29.039",7,24,"https://www.google.com/maps/dir/40.99949,29.039/"
7,1,Starbucks,Acibadem Cad No:190,Acibadem Mah. Acibadem Cad. NO 190 Uskudar Istanbul 34 TR 00000,"41.0103, 29.05179",7,24,"https://www.google.com/maps/dir/41.0103,29.05179/"
8,1,Starbucks,Akasya Kuzey 2,Cecen Sokak Acıbadem Mah. Uskudar Istanbul 34 TR 34660,"41.00265, 29.05463",7,24,"https://www.google.com/maps/dir/41.00265,29.05463/"
9,1,Starbucks,Fikirtepe Yenitepe,Dumlupinar Ucar Sk 34720 Kadikoy Istanbul Istanbul 34 TR 34720,"40.99473, 29.05678",7,24,"https://www.google.com/maps/dir/40.99473,29.05678/"
10,1,Starbucks,Goztepe,Gazi Muhtar Pasa Sok Istanbul 34 TR 34724,"40.98457, 29.0531",7,24,"https://www.google.com/maps/dir/40.98457,29.0531/"
11,1,Starbucks,Goztepe Loft,Goztepe Mah Tutuncu Mehmet Efendi Cad 84 Istanbul 34 TR 34730,"40.97928, 29.06722",7,24,"https://www.google.com/maps/dir/40.97928,29.06722/"
12,1,Starbucks,Ciftehavuzlar,Goztepe Mah Bagdat Cad Alemdar Istanbul 34 TR 34730,"40.973, 29.05698",7,24,"https://www.google.com/maps/dir/40.973,29.05698/"
13,1,Starbucks,Dalyan,"Haci Mehmet Efendi Cad. No:23 D:1-2 Selamicesme, Kadikoy Istanbul 34 TR 34730","40.97387, 29.04844",7,24,"https://www.google.com/maps/dir/40.97387,29.04844/"
14,1,Starbucks,Kadikoy Carsi,Caferaga Mah Muvakkithane Sok No 9 Istanbul 34 TR 34710,"40.99046, 29.0234",7,24,"https://www.google.com/maps/dir/40.99046,29.0234/"
15,1,Starbucks,Caddebostan Iskele Sokak,Erenk y Mahallesi Iskele Sokak Istanbul - Kadikoy 34 TR 34278,"40.96401, 29.06545",7,24,"https://www.google.com/maps/dir/40.96401,29.06545/"
16,1,McDonalds,Acıbadem,Acıbadem Cad. No:128 Kadıköy/İstanbul 81010,"41.00315697, 29.04408612",0,0,"https://www.google.com/maps/dir/41.00315697,29.04408612/"
17,1,McDonalds,Üsküdar,Selman-i Pak Cad. No:33 Üsküdar/İstanbul 81200,"41.0259712868, 29.0163518559",10,2,"https://www.google.com/maps/dir/41.0259712868,29.0163518559/"
18,1,McDonalds,Libadiye,Bulgurlu Mah. Libadiye Cad. Ünlü Sok. No:7 Ümraniye/İstanbul 34760,"41.015953, 29.075643",10,0,"https://www.google.com/maps/dir/41.015953,29.075643/"
19,1,McDonalds,Mühürdar,Caferağa Mah. Mühürdar Cad. No:29-31 Kadıköy/İstanbul,"40.988758, 29.023041",10,1,"https://www.google.com/maps/dir/40.988758,29.023041/"
20,1,McDonalds,İstanbul Kızıltoprak,Feneryolu Mah. Bağdat Cad. Karel İşhanı No:43 Kadıköy/İstanbul,"40.983118982, 29.0404811945",10,2,"https://www.google.com/maps/dir/40.983118982,29.0404811945/"
21,1,McDonalds,Göztepe Minibüs Caddesi,Göztepe Mah. Fahrettin Kerim Gökay Cad. Sedat Bey Apt. No:242/32 Kadıköy/İstanbul,"40.980749, 29.071533",10,2,"https://www.google.com/maps/dir/40.980749,29.071533/"
22,1,McDonalds,Caddebostan,Caddebostan Mah. İskele Sok. No:25A Kadıköy/İstanbul,"40.9639305248, 29.0655840116",10,2,"https://www.google.com/maps/dir/40.9639305248,29.0655840116/"
23,2,Starbucks,Istanbul DTM,Yesilkoy Mah Ataturk Cad Istanbul Dunya Istanbul 34 TR 34149,"40.98597, 28.83137",7,24,"https://www.google.com/maps/dir/40.98597,28.83137/"
24,2,Starbucks,G Plus,Yalcin Kores Caddesi Cavdar Sokak No:1 Bagcilar Istanbul 34 TR 34212,"41.02535, 28.81567",7,24,"https://www.google.com/maps/dir/41.02535,28.81567/"
25,2,Starbucks,Halkali Atakent,Halkali Caddesi Istanbul 34 TR 34260,"41.02099, 28.79166",7,24,"https://www.google.com/maps/dir/41.02099,28.79166/"
26,2,Starbucks,Yesilkoy Cadde,Istasyon Cad. Yesilkoy Bakirkoy Istanbul 34 TR 0000,"40.95853, 28.82181",7,24,"https://www.google.com/maps/dir/40.95853,28.82181/"
27,2,Starbucks,LCW Gunesli HO,Gulbahar Cad No96 Evren Mah. Bagcilar Istanbul 34 TR 34212,"41.04027, 28.8138",7,24,"https://www.google.com/maps/dir/41.04027,28.8138/"
28,2,Starbucks,Oasis Gunesli,"Evren Mah. Bahar Cd. 43-J, Gunesli Bagcilar Istanbul 34 TR 34200","41.04031, 28.81127",7,24,"https://www.google.com/maps/dir/41.04031,28.81127/"
29,2,Starbucks,Balance Gunesli,Mahmutbey Mah.Tasocagi Yolu No19 Gunesli Bagcilar Istanbul 34 TR 34218,"41.05256, 28.81088",7,24,"https://www.google.com/maps/dir/41.05256,28.81088/"
30,2,Starbucks,Mahmutbey,Peyami Sefa Caddesi Mahmutbey Mahallesi Istanbul 34 TR 34218,"41.0578, 28.81946",7,24,"https://www.google.com/maps/dir/41.0578,28.81946/"
31,2,Starbucks,Batisehir,Batisehir Cad. G3 blok D1 Bagcilar Istanbul 34 TR 0000,"41.0633, 28.84099",7,24,"https://www.google.com/maps/dir/41.0633,28.84099/"
32,2,McDonalds,Bakırköy Çarşı,Ebu Ziya Cd. No:2 Bakırköy/İstanbul,"40.97826396, 28.87404984",10,2,"https://www.google.com/maps/dir/40.97826396,28.87404984/"
33,2,McDonalds,Florya,Şenlik Mah. Florya Çiftliği Sok. No:49 Florya/İstanbul 34153,"40.98624, 28.790036",7,2,"https://www.google.com/maps/dir/40.98624,28.790036/"
34,2,McDonalds,Güneşli,Evren Mah. Koçman Cad. No:56 Güneşli/İstanbul,"41.02707501, 28.81274904",10,2,"https://www.google.com/maps/dir/41.02707501,28.81274904/"
35,2,McDonalds,İstanbul Bağcılar,Hoca Ahmet Yesevi Cad. Köyiçi Mevkii No:3 Bağımsız Bölüm No:14-15 34200 Bağcılar/İstanbul,"41.033478, 28.855726",10,2,"https://www.google.com/maps/dir/41.033478,28.855726/"
36,3,Starbucks,Anatolium Marmara,Soganlk D-100 Kuzey Yanyol Cad. kartal Istanbul 34 TR 34865,"40.91847, 29.17588",7,24,"https://www.google.com/maps/dir/40.91847,29.17588/"
37,3,Starbucks,Kartal Sahil,Kordonboyu Mah Cilek Sok 1 B16 Istanbul 34 TR 34860,"40.8941, 29.17258",7,24,"https://www.google.com/maps/dir/40.8941,29.17258/"
38,3,Starbucks,Ugur Mumcu,Seyh Samil Cad. Kartal Istanbul 34 TR 34882,"40.9313, 29.21399",7,24,"https://www.google.com/maps/dir/40.9313,29.21399/"
39,3,Starbucks,Pendik Farilya Asia,Fevzi Cakmak Muhsin Yazicioglu Cd No1 34899 Pendik Istanbul Pendik/Istanbul 34 TR 34899,"40.88948, 29.26406",7,24,"https://www.google.com/maps/dir/40.88948,29.26406/"
40,3,Starbucks,Starbucks,Sanayi Mh Istanbul 34 TR 34906,"40.89658, 29.27012",7,24,"https://www.google.com/maps/dir/40.89658,29.27012/"
41,3,McDonalds,Cevizli,Kordonboyu Mah.Turgut Özal Bulvarı No:33/3 Kartal/İstanbul,"40.898094, 29.16485",10,1,"https://www.google.com/maps/dir/40.898094,29.16485/"
42,3,McDonalds,Pendik,Doğu Mah. Erol Kaya Cad. No:138/B Pendik/İstanbul,"40.87689597, 29.23623612",7,1,"https://www.google.com/maps/dir/40.87689597,29.23623612/"
43,3,McDonalds,Kartal Soğanlık,Soğanlık Mah. Atatürk Cad. Tiryaki Hasan Paşa Sok. No:2/2 Kartal/İstanbul,"40.914874, 29.202201",10,23,"https://www.google.com/maps/dir/40.914874,29.202201/"
44,3,McDonalds,Kartal Çarşı,Kordonboyu Mah. Ankara Cad. No:48 Kartal/İstanbul,"40.888498, 29.18761",10,23,"https://www.google.com/maps/dir/40.888498,29.18761/"
45,3,McDonalds,Kartal DT,Soğanlık Yeni Mah. Pegagaz Sokak No:2 Kartal / İstanbul,"40.9117878388, 29.1959064979",7,1,"https://www.google.com/maps/dir/40.9117878388,29.1959064979/"
46,4,Starbucks,Watergarden,Barbaros mah. Uzman Sok.12-1 Atasehir Istanbul 34 TR 00000,"40.9979, 29.09775",7,24,"https://www.google.com/maps/dir/40.9979,29.09775/"
47,4,Starbucks,Palladium Reserve,Barbaros mah. Halk caddesi 8 /B Atasehir Kadikoy Istanbul 34 TR 00000,"40.9865, 29.10006",7,24,"https://www.google.com/maps/dir/40.9865,29.10006/"
48,4,Starbucks,Kozyatagi City's,Icerenkoy Mah Cayir Cad 1 Istanbul 34 TR 34752,"40.97972, 29.10017",7,24,"https://www.google.com/maps/dir/40.97972,29.10017/"
49,4,Starbucks,My Newwork,Ihlamur Sokak Atasehir Istanbul 34 TR 34746,"40.99178, 29.10446",7,24,"https://www.google.com/maps/dir/40.99178,29.10446/"
50,4,Starbucks,Nida Kule Kozyatagi,Kozyatagi Mah. Degirmen Sok. Nida Kule No:18 K:Bodrum D:1 Istanbul 34 TR 34742,"40.97396, 29.09818",7,24,"https://www.google.com/maps/dir/40.97396,29.09818/"
51,4,Starbucks,Capitol Sinema Kati,Mahir lz Caddesi No 4 Altunizade/Uskudar/Istanbul Istanbul 34 TR 34662,"41.01565, 29.09367",7,24,"https://www.google.com/maps/dir/41.01565,29.09367/"
52,4,Starbucks,Bulvar 216 Teras,Atasehir Bulvari NO. 1 Atasehir Atasehir 34 TR 34746,"40.99439, 29.11051",7,24,"https://www.google.com/maps/dir/40.99439,29.11051/"
53,4,Starbucks,Novada Atasehir,Kucukbakkalkoy Mah. Sehit Sakir Elkovan Cad. Novada Atasehir No:20 K:1 D:25 Istanbul 34 TR 34700,"40.9861, 29.11861",7,24,"https://www.google.com/maps/dir/40.9861,29.11861/"
54,4,Starbucks,Hilltown Kucukyali Meydan,"Siteler Yolu No1 Aydnevler Mahallesi, Maltepe Istanbul 34 TR 34765","40.9942, 29.12329",7,24,"https://www.google.com/maps/dir/40.9942,29.12329/"
55,4,Starbucks,Trendist Atasehir,Ataturk Mah. Gulibrisim Cad. Atasehir Kadikoy Istanbul 34 TR 00000,"40.99015, 29.13988",7,24,"https://www.google.com/maps/dir/40.99015,29.13988/"
56,4,Starbucks,Nar Point Atasehir,Ataturk Mah. Atasehir Bulv. 3 Cad. No:7 Istanbul 34 TR 34750,"40.9912, 29.13627",7,24,"https://www.google.com/maps/dir/40.9912,29.13627/"
57,4,Starbucks,Atasehir Ata Bloklari,41 Ada Atasehir Bulv Ata Carsi 4 1 Istanbul 34 TR 34398,"40.9929, 29.12521",7,24,"https://www.google.com/maps/dir/40.9929,29.12521/"
58,4,Starbucks,Serifali,Serifali Mah. Husrev Sok. Umraniye Istanbul 34 TR 34775,"40.99729, 29.13999",7,24,"https://www.google.com/maps/dir/40.99729,29.13999/"
59,4,Starbucks,Umraniye Elalmis Caddesi No15,Tatlisu Mahallesi Elalmis Caddesi No15 Umraniye Istanbul Istanbul - Umraniye 34 TR 34774,"41.00884, 29.13531",7,24,"https://www.google.com/maps/dir/41.00884,29.13531/"
60,4,McDonalds,Ataşehir,Turgut Özal Bulvarı 42 Ada C Blok Gardenya Çarşısı No:7 Ataşehir/İstanbul,"40.99280796, 29.127924",7,2,"https://www.google.com/maps/dir/40.99280796,29.127924/"
61,4,McDonalds,Şerifali,Şerifali Mah. Hüsrev Sok. No:5 Ümraniye/İstanbul,"40.997444, 29.140189",10,2,"https://www.google.com/maps/dir/40.997444,29.140189/"
62,4,McDonalds,Kozyatağı Yanyol,Kozyatağı Mah. Saniye Ermutlu Sok. Çolakoğlu İş Merkezi B Blok No:121/1 Kozyatağı/Kadıköy/İstanbul,"40.975819, 29.098044",10,2,"https://www.google.com/maps/dir/40.975819,29.098044/"
63,4,McDonalds,İstanbul Kozyatağı E5,Sahrayıcedit Mah. Halk Sok. No:39/A  Kadıköy/İstanbul,"40.9839474, 29.0877613",10,1,"https://www.google.com/maps/dir/40.9839474,29.0877613/"
64,4,McDonalds,Ümraniye DT,Yamanevler Mah. Almdağ Cad. Canpark AVM Yanı Ümraniye / İstanbul,"41.0230847368, 29.1135869913",7,1,"https://www.google.com/maps/dir/41.0230847368,29.1135869913/"
65,5,Starbucks,Istanbul Galataport HOSS,Kilicali Pasa Mahallesi Kemankes Sokak No 40 A Galataport Beyoglu Istanbul Istanbul 34 TR 34425,"41.02447, 28.98042",7,24,"https://www.google.com/maps/dir/41.02447,28.98042/"
66,5,Starbucks,Tophane Reserve,Mumhane Cad. Beyoglu Istanbul 33 TR 34425,"41.02586, 28.98042",7,24,"https://www.google.com/maps/dir/41.02586,28.98042/"
67,5,Starbucks,Galataport Meydan,6 Meclis i Mebusan Caddesi Istanbul 34 TR 34425,"41.02747, 28.98427",7,24,"https://www.google.com/maps/dir/41.02747,28.98427/"
68,5,Starbucks,Tunel Narmanli Han,Istiklal Caddesi Asmali Mescit Mahallesi Istanbul 34 TR 34430,"41.0291, 28.97476",7,24,"https://www.google.com/maps/dir/41.0291,28.97476/"
69,5,Starbucks,Findikli,Meclisi Mebusan Cad CBS Is Hani No 47 Istanbul 34 TR 34398,"41.03035, 28.9885",7,24,"https://www.google.com/maps/dir/41.03035,28.9885/"
70,5,Starbucks,Istiklal Cad No:18,Istiklal Cad. NO 18 Beyoglu Istanbul 34 TR 00000,"41.03572, 28.98285",7,24,"https://www.google.com/maps/dir/41.03572,28.98285/"
71,5,Starbucks,Istanbul Taksim 360,Sehit Muhtar Tarlabasi Blv no 150 D 170 Beyoglu Istanbul Istanbul 34 TR 34435,"41.03644, 28.97919",7,24,"https://www.google.com/maps/dir/41.03644,28.97919/"
72,5,Starbucks,Taksim Meydani,3 Nolu Bagimsiz Bolum Taksim Meydani Taki Zafer Cad. Istanbul 34 TR 34437,"41.03657, 28.98629",7,24,"https://www.google.com/maps/dir/41.03657,28.98629/"
73,5,Starbucks,Dolapdere,Kurtulus Deresi Caddesi Istanbul 34 TR 34440,"41.04012, 28.97637",7,24,"https://www.google.com/maps/dir/41.04012,28.97637/"
74,5,Starbucks,Elmadag,Harbiye Mah Cumhuriyet Cad Istanbul 34 TR 34367,"41.04188, 28.98667",7,24,"https://www.google.com/maps/dir/41.04188,28.98667/"
75,5,Starbucks,Akaretler,Sair Nedim Cad. No 5 Besiktas Istanbul Istanbul 34 TR 0,"41.04254, 29.00258",7,24,"https://www.google.com/maps/dir/41.04254,29.00258/"
76,5,Starbucks,Barbaros Bulvari Besiktas,Barbaros Bulv Yildiz ls Hani Istanbul 34 TR 34200,"41.04403, 29.00704",7,24,"https://www.google.com/maps/dir/41.04403,29.00704/"
77,5,Starbucks,Lotus Pangalti,Halaskargazi Cd No 38 66 34371 Sisli Istanbul Istanbul 34 TR 34371,"41.05158, 28.98771",7,24,"https://www.google.com/maps/dir/41.05158,28.98771/"
78,5,Starbucks,Nisantasi Reserve,Nisantasi Mah Vali Konagi Cad No 30 Istanbul 34 TR 34398,"41.05138, 28.99111",7,24,"https://www.google.com/maps/dir/41.05138,28.99111/"
79,5,Starbucks,Akkavak Sokak,Akkavak Sokak Tesvikiye Sisli Istanbul 34 TR 34365,"41.05144, 28.99341",7,24,"https://www.google.com/maps/dir/41.05144,28.99341/"
80,5,Starbucks,Bomonti Bomonti Apartmani,Gokkusagi Sokak Istanbul 34 TR 34380,"41.05678, 28.98124",7,24,"https://www.google.com/maps/dir/41.05678,28.98124/"
81,5,Starbucks,Istanbul Fulya 10,Dikilitas Ayazmaderesi Cd No 10 Besiktas Istanbul Istanbul 34 TR 34349,"41.05801, 29.00319",7,24,"https://www.google.com/maps/dir/41.05801,29.00319/"
82,5,Starbucks,Ortakoy Sahil,Mecidiye Mah Degirmen Sok No 16 Istanbul 34 TR 34400,"41.04799, 29.02646",7,24,"https://www.google.com/maps/dir/41.04799,29.02646/"
83,5,Starbucks,Cevahir Meydan Dis,Buyukdere Cad Istanbul Cevahir Alisveri Istanbul 34 TR 34381,"41.06262, 28.99293",7,24,"https://www.google.com/maps/dir/41.06262,28.99293/"
84,5,Starbucks,Sisli Carrefour Ortaklar Caddesi,Ortaklar caddesi no 17 sisli ISTANBUL 34 TR 34394,"41.0642, 28.99694",7,24,"https://www.google.com/maps/dir/41.0642,28.99694/"
85,5,McDonalds,Beşiktaş,Sinanpaşa Mah. Has Fırın Cad. No:3/I Beşiktaş/İstanbul,"41.042867, 29.006245",7,2,"https://www.google.com/maps/dir/41.042867,29.006245/"
86,5,McDonalds,Beyoğlu,İstiklal Cad. No:93 Beyoğlu/İstanbul,"41.034923, 28.980961",9,0,"https://www.google.com/maps/dir/41.034923,28.980961/"
87,5,McDonalds,Şişli Meydan,Halaskargazi Cad. Terminus Palas No:366 Şişli/İstanbul,"41.060659, 28.987875",9,1,"https://www.google.com/maps/dir/41.060659,28.987875/"
88,5,McDonalds,Taksim Meydan,Gümüşsuyu Mah. Osmanlı Sokak No:2 Bodrum Kat Beyoğlu/İstanbul,"41.038218, 28.985804",9,2,"https://www.google.com/maps/dir/41.038218,28.985804/"
89,5,McDonalds,Okmeydanı,Kaptanpaşa Mah. H.Ziya Türkkan Sok. No:10-12   A-Blok Dükkan No:1 Okmeydanı/Şişli/İstanbul,"41.064571, 28.97139",7,0,"https://www.google.com/maps/dir/41.064571,28.97139/"
90,5,McDonalds,Şişli Abide-i Hürriyet,Merkez Mah. Abide-İ Hürriyet Cad. No:211 Blockout   Şişli/İstanbul,"41.065033, 28.987189",9,2,"https://www.google.com/maps/dir/41.065033,28.987189/"
91,5,McDonalds,Pangaltı,Ergenekon Mah. Halaskargazi Cad. No:63/C Şişli/İstanbul,"41.051222, 28.9874006",9,1,"https://www.google.com/maps/dir/41.051222,28.9874006/"
92,6,Starbucks,Sultanahmet Divan Yolu No:76,Alemdar Mah. Divanyolu Cad. No:76/A Istanbul 34 TR 34110,"41.00824, 28.97379",7,24,"https://www.google.com/maps/dir/41.00824,28.97379/"
93,6,Starbucks,Cemberlitas,Yeniceriler Caddesi Mimar Hayrettin Mahallesi Istanbul 34 TR 34126,"41.00869, 28.96963",7,24,"https://www.google.com/maps/dir/41.00869,28.96963/"
94,6,Starbucks,Vatan Caddesi,Aksemsettin Mah Adnan Menderes Vatan Bulvari No 46 Istanbul 34 TR 34080,"41.01706, 28.94105",7,24,"https://www.google.com/maps/dir/41.01706,28.94105/"
95,6,Starbucks,Yedi Mavi C Blok,Kazlicesme Mahallesi Kennedy Caddesi 62 1 C Blok Istanbul 34 TR 34020,"40.98076, 28.90357",7,24,"https://www.google.com/maps/dir/40.98076,28.90357/"
96,6,Starbucks,Buyukyali Konutlari,Kennedy Caddesi Istanbul 34 TR 34020,"40.98278, 28.90567",7,24,"https://www.google.com/maps/dir/40.98278,28.90567/"
97,6,Starbucks,Forum Istanbul Akvaryum,Kocatepe Mah Sehir Parki Cad 12 Sok Istanbul - Avrupa 34 TR 34045,"41.04661, 28.89766",7,24,"https://www.google.com/maps/dir/41.04661,28.89766/"
98,6,Starbucks,Forum Istanbul Metro Girisi,"Pasa Caddesi No3 Kocatepe Mahallesi, Bayrampasa Istanbul 34 TR 34045","41.04784, 28.89641",7,24,"https://www.google.com/maps/dir/41.04784,28.89641/"
